locus_tag	ftype	length_bp	gene	EC_number	COG	product
HDIIENPN_00720	CDS	699	ywqD	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
HDIIENPN_00721	CDS	765	ywqE	3.1.3.48	COG4464	Tyrosine-protein phosphatase YwqE
HDIIENPN_00722	CDS	1818	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
HDIIENPN_00723	CDS	966				hypothetical protein
HDIIENPN_00724	CDS	696	gph_1	3.1.3.18		Phosphoglycolate phosphatase
HDIIENPN_00725	CDS	1119	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
HDIIENPN_00726	CDS	621	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
HDIIENPN_00727	CDS	1101	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
HDIIENPN_00728	CDS	273	mshA	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HDIIENPN_00729	CDS	1002				hypothetical protein
HDIIENPN_00730	CDS	1047				hypothetical protein
HDIIENPN_00731	CDS	1080	pglH_1	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
HDIIENPN_00732	CDS	1425				hypothetical protein
HDIIENPN_00733	CDS	1506				hypothetical protein
HDIIENPN_00734	CDS	1173				IS256 family transposase IS256
HDIIENPN_00735	CDS	1092	wbgU_1	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
HDIIENPN_00736	CDS	1479	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
HDIIENPN_00737	CDS	750	glvR		COG1737	HTH-type transcriptional regulator GlvR
HDIIENPN_00738	CDS	951	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
HDIIENPN_00739	CDS	1464	fruA_4		COG1299	PTS system fructose-specific EIIABC component
HDIIENPN_00740	CDS	459	mngA		COG1299	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component
HDIIENPN_00741	CDS	975	lacD2	4.1.2.40	COG3684	Tagatose 1,6-diphosphate aldolase 2
HDIIENPN_00742	CDS	951	yidC			Membrane protein insertase YidC
HDIIENPN_00743	CDS	276	acyP	3.6.1.7	COG1254	Acylphosphatase
HDIIENPN_00744	CDS	765		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
HDIIENPN_00745	CDS	504				hypothetical protein
HDIIENPN_00746	CDS	642				hypothetical protein
HDIIENPN_00747	CDS	1269	eriC		COG0038	Chloride/fluoride channel protein
HDIIENPN_00748	CDS	1200				hypothetical protein
HDIIENPN_00749	CDS	1308	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
HDIIENPN_00750	CDS	123				hypothetical protein
HDIIENPN_00751	CDS	1119				hypothetical protein
HDIIENPN_00752	CDS	321				hypothetical protein
HDIIENPN_00753	CDS	165				hypothetical protein
HDIIENPN_00754	CDS	201	cspLA_2		COG1278	Cold shock-like protein CspLA
HDIIENPN_00755	CDS	2790	dinG_1	3.1.-.-		3'-5' exonuclease DinG
HDIIENPN_00756	CDS	504				hypothetical protein
HDIIENPN_00757	CDS	1191	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
HDIIENPN_00758	CDS	1299	asnS	6.1.1.22		Asparagine--tRNA ligase
HDIIENPN_00759	CDS	675	axe2	3.1.1.72		Acetylxylan esterase
HDIIENPN_00760	CDS	342				hypothetical protein
HDIIENPN_00761	CDS	360	yccF		COG3304	Inner membrane protein YccF
HDIIENPN_00762	CDS	2085	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
HDIIENPN_00763	CDS	1467	ycaM		COG0531	Inner membrane transporter YcaM
HDIIENPN_00764	CDS	1296				ISL3 family transposase ISEfa5
HDIIENPN_00765	CDS	540				hypothetical protein
HDIIENPN_00766	CDS	441	copY			Transcriptional repressor CopY
HDIIENPN_00767	CDS	210	copZ			Copper chaperone CopZ
HDIIENPN_00768	CDS	2187	copA	7.2.2.8		putative copper-importing P-type ATPase A
HDIIENPN_00769	CDS	2172	copB	7.2.2.8		Copper-exporting P-type ATPase B
HDIIENPN_00770	CDS	741				hypothetical protein
HDIIENPN_00771	CDS	1299				hypothetical protein
HDIIENPN_00772	CDS	753				hypothetical protein
HDIIENPN_00773	CDS	324				hypothetical protein
HDIIENPN_00774	CDS	849				hypothetical protein
HDIIENPN_00775	CDS	813				hypothetical protein
HDIIENPN_00776	CDS	324				hypothetical protein
HDIIENPN_00777	CDS	570				hypothetical protein
HDIIENPN_00778	CDS	693				hypothetical protein
HDIIENPN_00779	CDS	807				IS3 family transposase ISEnfa3
HDIIENPN_00780	CDS	537				hypothetical protein
HDIIENPN_00781	CDS	1179				IS256 family transposase ISEf1
HDIIENPN_00782	CDS	537				hypothetical protein
HDIIENPN_00783	CDS	807				IS3 family transposase ISEnfa3
HDIIENPN_00784	CDS	417				hypothetical protein
HDIIENPN_00785	CDS	258				hypothetical protein
HDIIENPN_00786	CDS	1251				IS110 family transposase ISSpn10
HDIIENPN_00787	CDS	975	cbh_1	3.5.1.24		Choloylglycine hydrolase
HDIIENPN_00788	CDS	1296				ISL3 family transposase ISEfa5
HDIIENPN_00789	CDS	1188				IS256 family transposase IS16
HDIIENPN_00790	CDS	318				hypothetical protein
HDIIENPN_00791	CDS	366				hypothetical protein
HDIIENPN_00792	CDS	483				hypothetical protein
HDIIENPN_00793	CDS	891	pstS1_2		COG0226	Phosphate-binding protein PstS 1
HDIIENPN_00794	CDS	1296				ISL3 family transposase IS1251
HDIIENPN_00795	CDS	1269				ISL3 family transposase IS1476
HDIIENPN_00796	CDS	2472	ctpE_1	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
HDIIENPN_00797	CDS	1737	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
HDIIENPN_00798	CDS	705	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HDIIENPN_00799	CDS	417				hypothetical protein
HDIIENPN_00800	CDS	339				hypothetical protein
HDIIENPN_00801	CDS	1419	ffh		COG0541	Signal recognition particle protein
HDIIENPN_00802	CDS	579	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
HDIIENPN_00803	CDS	522				IS1595 family transposase ISCac2
HDIIENPN_00804	CDS	555	chrR	1.6.5.2	COG0431	Quinone reductase
HDIIENPN_00805	CDS	276	rpsP		COG0228	30S ribosomal protein S16
HDIIENPN_00806	CDS	252				hypothetical protein
HDIIENPN_00807	CDS	792				hypothetical protein
HDIIENPN_00808	CDS	522	rimM			Ribosome maturation factor RimM
HDIIENPN_00809	CDS	762	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
HDIIENPN_00810	CDS	348	rplS		COG0335	50S ribosomal protein L19
HDIIENPN_00811	CDS	663				hypothetical protein
HDIIENPN_00812	CDS	3228				hypothetical protein
HDIIENPN_00813	CDS	315				hypothetical protein
HDIIENPN_00814	CDS	375				hypothetical protein
HDIIENPN_00815	CDS	345				hypothetical protein
HDIIENPN_00816	CDS	1146				hypothetical protein
HDIIENPN_00817	CDS	1860				hypothetical protein
HDIIENPN_00818	CDS	252				hypothetical protein
HDIIENPN_00819	CDS	435				IS1595 family transposase ISCco3
HDIIENPN_00820	CDS	708				hypothetical protein
HDIIENPN_00821	CDS	255				hypothetical protein
HDIIENPN_00822	CDS	1185				hypothetical protein
HDIIENPN_00823	CDS	138				hypothetical protein
HDIIENPN_00824	CDS	1911				hypothetical protein
HDIIENPN_00825	CDS	501				hypothetical protein
HDIIENPN_00826	CDS	1848				hypothetical protein
HDIIENPN_00827	CDS	897				hypothetical protein
HDIIENPN_00828	CDS	390				hypothetical protein
HDIIENPN_00829	CDS	2346				hypothetical protein
HDIIENPN_00830	CDS	1188				IS256 family transposase IS16
HDIIENPN_00831	CDS	2130				hypothetical protein
HDIIENPN_00832	CDS	1008				hypothetical protein
HDIIENPN_00833	CDS	912				hypothetical protein
HDIIENPN_00834	CDS	729				IS21 family transposase ISCth15
HDIIENPN_00835	CDS	1419				hypothetical protein
HDIIENPN_00836	CDS	1122			COG3385	IS4 family transposase IS4Bsu1
HDIIENPN_00837	CDS	954			COG2826	IS30 family transposase IS1252
HDIIENPN_00838	CDS	480				hypothetical protein
HDIIENPN_00839	CDS	291				IS3 family transposase ISEfa8
HDIIENPN_00840	CDS	837				IS3 family transposase ISEfa8
HDIIENPN_00841	CDS	981	degA_1		COG1609	HTH-type transcriptional regulator DegA
HDIIENPN_00842	CDS	1419	bfrA	3.2.1.26	COG1621	Beta-fructosidase
HDIIENPN_00843	CDS	1470	treP_1		COG1263	PTS system trehalose-specific EIIBC component
HDIIENPN_00844	CDS	468				hypothetical protein
HDIIENPN_00845	CDS	873	gmuE_2	2.7.1.4	COG1940	Putative fructokinase
HDIIENPN_00846	CDS	2535	dgaR_5			Transcriptional regulatory protein DagR
HDIIENPN_00847	CDS	774	sorC		COG3715	PTS system sorbose-specific EIIC component
HDIIENPN_00848	CDS	792	manZ_4		COG3716	PTS system mannose-specific EIID component
HDIIENPN_00849	CDS	492	manX_4	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
HDIIENPN_00850	CDS	411				hypothetical protein
HDIIENPN_00851	CDS	1401				hypothetical protein
HDIIENPN_00852	CDS	375				hypothetical protein
HDIIENPN_00853	CDS	195				hypothetical protein
HDIIENPN_00854	CDS	354				hypothetical protein
HDIIENPN_00855	CDS	1548				IS66 family transposase ISRob1
HDIIENPN_00856	CDS	429				hypothetical protein
HDIIENPN_00857	CDS	252				hypothetical protein
HDIIENPN_00858	CDS	216				hypothetical protein
HDIIENPN_00859	CDS	309				hypothetical protein
HDIIENPN_00860	CDS	1179	xerC_5			Tyrosine recombinase XerC
HDIIENPN_00861	CDS	294				hypothetical protein
HDIIENPN_00862	CDS	2322				hypothetical protein
HDIIENPN_00863	CDS	459				hypothetical protein
HDIIENPN_00864	CDS	1014				hypothetical protein
HDIIENPN_00865	CDS	447				hypothetical protein
HDIIENPN_00866	CDS	816				hypothetical protein
HDIIENPN_00867	CDS	1173				hypothetical protein
HDIIENPN_00868	CDS	198				hypothetical protein
HDIIENPN_00869	CDS	495				hypothetical protein
HDIIENPN_00870	CDS	423				hypothetical protein
HDIIENPN_00871	CDS	1194	yjhB			Putative metabolite transport protein YjhB
HDIIENPN_00872	CDS	378	adhR		COG0789	HTH-type transcriptional regulator AdhR
HDIIENPN_00873	CDS	306	hdfR_1			HTH-type transcriptional regulator HdfR
HDIIENPN_00874	CDS	444				hypothetical protein
HDIIENPN_00875	CDS	1296				ISL3 family transposase ISEfa11
HDIIENPN_00876	CDS	816	araQ_3		COG0395	L-arabinose transport system permease protein AraQ
HDIIENPN_00877	CDS	216				hypothetical protein
HDIIENPN_00878	CDS	1179				IS256 family transposase ISEf1
HDIIENPN_00879	CDS	1665	alsS	2.2.1.6	COG0028	Acetolactate synthase
HDIIENPN_00880	CDS	711	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
HDIIENPN_00881	CDS	498				hypothetical protein
HDIIENPN_00882	CDS	261				hypothetical protein
HDIIENPN_00883	CDS	240				hypothetical protein
HDIIENPN_00884	CDS	1179				IS256 family transposase ISEf1
HDIIENPN_00885	tRNA	74				tRNA-Met(cat)
HDIIENPN_00886	CDS	1179				IS256 family transposase ISEf1
HDIIENPN_00887	CDS	303				hypothetical protein
HDIIENPN_00888	tmRNA	364	ssrA			transfer-messenger RNA, SsrA
HDIIENPN_00889	CDS	774		3.1.3.-		Putative phosphatase
HDIIENPN_00890	CDS	351				hypothetical protein
HDIIENPN_00891	CDS	717	srrA_1		COG0745	Transcriptional regulatory protein SrrA
HDIIENPN_00892	CDS	1449	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
HDIIENPN_00893	CDS	510				hypothetical protein
HDIIENPN_00894	CDS	726				hypothetical protein
HDIIENPN_00895	CDS	2121	ltaS1_2		COG1368	Lipoteichoic acid synthase 1
HDIIENPN_00896	CDS	1179	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
HDIIENPN_00897	CDS	759	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
HDIIENPN_00898	CDS	486	ybaK_2	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
HDIIENPN_00899	CDS	1254	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
HDIIENPN_00900	CDS	1350	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
HDIIENPN_00901	CDS	1347	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
HDIIENPN_00902	CDS	1296				ISL3 family transposase ISEfa11
HDIIENPN_00903	CDS	387				hypothetical protein
HDIIENPN_00904	CDS	1446				IS1182 family transposase ISEfa7
HDIIENPN_00905	CDS	783				IS982 family transposase ISEfm1
HDIIENPN_00906	CDS	960			COG2826	IS30 family transposase IS1062
HDIIENPN_00907	CDS	150				hypothetical protein
HDIIENPN_00908	CDS	213				hypothetical protein
HDIIENPN_00909	CDS	111				hypothetical protein
HDIIENPN_00910	CDS	1800				hypothetical protein
HDIIENPN_00911	CDS	597				hypothetical protein
HDIIENPN_00912	CDS	954			COG2826	IS30 family transposase IS1252
HDIIENPN_00913	CDS	345				hypothetical protein
HDIIENPN_00914	CDS	420				hypothetical protein
HDIIENPN_00915	CDS	351				hypothetical protein
HDIIENPN_00916	CDS	1332				hypothetical protein
HDIIENPN_00917	CDS	567				hypothetical protein
HDIIENPN_00918	tRNA	88				tRNA-Ser(cga)
HDIIENPN_00919	CDS	1206	xerC_6			Tyrosine recombinase XerC
HDIIENPN_00920	CDS	441				hypothetical protein
HDIIENPN_00921	CDS	654				hypothetical protein
HDIIENPN_00922	CDS	423				hypothetical protein
HDIIENPN_00923	CDS	375				hypothetical protein
HDIIENPN_00924	CDS	183				hypothetical protein
HDIIENPN_00925	CDS	321				hypothetical protein
HDIIENPN_00926	CDS	171				hypothetical protein
HDIIENPN_00927	CDS	153				hypothetical protein
HDIIENPN_00928	CDS	483				hypothetical protein
HDIIENPN_00929	CDS	699				hypothetical protein
HDIIENPN_00930	CDS	342				hypothetical protein
HDIIENPN_00931	CDS	672				hypothetical protein
HDIIENPN_00932	CDS	687				hypothetical protein
HDIIENPN_00933	CDS	750				hypothetical protein
HDIIENPN_00934	CDS	270				hypothetical protein
HDIIENPN_00935	CDS	165				hypothetical protein
HDIIENPN_00936	CDS	306				hypothetical protein
HDIIENPN_00937	CDS	291				hypothetical protein
HDIIENPN_00938	CDS	357				hypothetical protein
HDIIENPN_00939	CDS	246				hypothetical protein
HDIIENPN_00940	CDS	420				hypothetical protein
HDIIENPN_00941	CDS	567				hypothetical protein
HDIIENPN_00942	CDS	135				hypothetical protein
HDIIENPN_00943	CDS	690				hypothetical protein
HDIIENPN_00944	CDS	477				hypothetical protein
HDIIENPN_00945	CDS	297	yjcQ			putative protein YjcQ
HDIIENPN_00946	CDS	387				hypothetical protein
HDIIENPN_00947	CDS	387				hypothetical protein
HDIIENPN_00948	CDS	381				hypothetical protein
HDIIENPN_00949	CDS	453				hypothetical protein
HDIIENPN_00950	CDS	1728				hypothetical protein
HDIIENPN_00951	CDS	1230				hypothetical protein
HDIIENPN_00952	CDS	570				hypothetical protein
HDIIENPN_00953	CDS	1362				hypothetical protein
HDIIENPN_00954	CDS	279				hypothetical protein
HDIIENPN_00955	CDS	327				hypothetical protein
HDIIENPN_00956	CDS	339				hypothetical protein
HDIIENPN_00957	CDS	366				hypothetical protein
HDIIENPN_00958	CDS	627				hypothetical protein
HDIIENPN_00959	CDS	465				hypothetical protein
HDIIENPN_00960	CDS	2310				hypothetical protein
HDIIENPN_00961	CDS	720				hypothetical protein
HDIIENPN_00962	CDS	2706				hypothetical protein
HDIIENPN_00963	CDS	1719				hypothetical protein
HDIIENPN_00964	CDS	783				hypothetical protein
HDIIENPN_00965	CDS	2067				hypothetical protein
HDIIENPN_00966	CDS	447				hypothetical protein
HDIIENPN_00967	CDS	138				hypothetical protein
HDIIENPN_00968	CDS	294				hypothetical protein
HDIIENPN_00969	CDS	198				hypothetical protein
HDIIENPN_00970	CDS	1020				hypothetical protein
HDIIENPN_00971	CDS	807				IS3 family transposase ISEnfa3
HDIIENPN_00972	CDS	537				hypothetical protein
HDIIENPN_00973	CDS	582	cbh_2	3.5.1.24		Choloylglycine hydrolase
HDIIENPN_00974	CDS	1179				IS256 family transposase ISEf1
HDIIENPN_00975	CDS	342	cbh_3	3.5.1.24		Choloylglycine hydrolase
HDIIENPN_00976	CDS	1446				IS1182 family transposase ISEfa7
HDIIENPN_00977	CDS	1896	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
HDIIENPN_00978	CDS	447				hypothetical protein
HDIIENPN_00979	CDS	150	rpmGA_1			50S ribosomal protein L33 1
HDIIENPN_00980	CDS	519	folA_1	1.5.1.3		Dihydrofolate reductase
HDIIENPN_00981	CDS	957	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
HDIIENPN_00982	CDS	807	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
HDIIENPN_00983	CDS	990	feuB		COG0609	Iron-uptake system permease protein FeuB
HDIIENPN_00984	CDS	1005	feuC		COG0609	Iron-uptake system permease protein FeuC
HDIIENPN_00985	CDS	543	yqgN		COG0212	putative protein YqgN
HDIIENPN_00986	CDS	699	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
HDIIENPN_00987	CDS	213	yqgQ		COG4483	putative protein YqgQ
HDIIENPN_00988	CDS	963	glcK	2.7.1.2	COG1940	Glucokinase
HDIIENPN_00989	CDS	396	yibN		COG0607	putative protein YibN
HDIIENPN_00990	CDS	366				hypothetical protein
HDIIENPN_00991	CDS	1812				hypothetical protein
HDIIENPN_00992	CDS	168				hypothetical protein
HDIIENPN_00993	CDS	990	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
HDIIENPN_00994	CDS	1485	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
HDIIENPN_00995	CDS	981	melR_1		COG1609	HTH-type transcriptional repressor MelR
HDIIENPN_00996	CDS	825	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
HDIIENPN_00997	CDS	543				hypothetical protein
HDIIENPN_00998	CDS	465	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
HDIIENPN_00999	CDS	1017	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
HDIIENPN_01000	CDS	702				hypothetical protein
HDIIENPN_01001	CDS	1230	arcA	3.5.3.6		Arginine deiminase
HDIIENPN_01002	CDS	1020	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
HDIIENPN_01003	CDS	948	arcC1	2.7.2.2		Carbamate kinase 1
HDIIENPN_01004	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
HDIIENPN_01005	CDS	546	phnX_1	3.11.1.1		Phosphonoacetaldehyde hydrolase
HDIIENPN_01006	CDS	129	phnX_2	3.11.1.1		Phosphonoacetaldehyde hydrolase
HDIIENPN_01007	CDS	1092	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
HDIIENPN_01008	CDS	480	argR_2			Arginine repressor
HDIIENPN_01009	CDS	783	rpsB		COG0052	30S ribosomal protein S2
HDIIENPN_01010	CDS	882	tsf		COG0264	Elongation factor Ts
HDIIENPN_01011	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
HDIIENPN_01012	CDS	558	frr			Ribosome-recycling factor
HDIIENPN_01013	CDS	813	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
HDIIENPN_01014	CDS	801				hypothetical protein
HDIIENPN_01015	CDS	1269	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
HDIIENPN_01016	CDS	1710	proS	6.1.1.15	COG0442	Proline--tRNA ligase
HDIIENPN_01017	CDS	4359	polC_2	2.7.7.7	COG2176	DNA polymerase III PolC-type
HDIIENPN_01018	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
HDIIENPN_01019	CDS	1176	nusA		COG0195	Transcription termination/antitermination protein NusA
HDIIENPN_01020	CDS	294				hypothetical protein
HDIIENPN_01021	CDS	312	rplGA		COG1358	putative ribosomal protein YlxQ
HDIIENPN_01022	CDS	2307	infB			Translation initiation factor IF-2
HDIIENPN_01023	CDS	348	rbfA			Ribosome-binding factor A
HDIIENPN_01024	CDS	468		4.1.2.-		phosphoketolase
HDIIENPN_01025	CDS	990	xpkA_1	4.1.2.9		Xylulose-5-phosphate phosphoketolase
HDIIENPN_01026	CDS	885	xpkA_2	4.1.2.9		Xylulose-5-phosphate phosphoketolase
HDIIENPN_01027	CDS	924	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
HDIIENPN_01028	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
HDIIENPN_01029	CDS	786	gdhIV	1.1.1.47	COG1028	Glucose 1-dehydrogenase 4
HDIIENPN_01030	CDS	852	glcU_2		COG4975	Glucose uptake protein GlcU
HDIIENPN_01031	CDS	453				hypothetical protein
HDIIENPN_01032	CDS	369	fra		COG5646	Intracellular iron chaperone frataxin
HDIIENPN_01033	CDS	483				hypothetical protein
HDIIENPN_01034	CDS	1011	mccF			Microcin C7 self-immunity protein MccF
HDIIENPN_01035	CDS	714				hypothetical protein
HDIIENPN_01036	CDS	591	ydeA	3.2.-.-	COG0693	putative protease YdeA
HDIIENPN_01037	CDS	228				hypothetical protein
HDIIENPN_01038	CDS	1167	hemW		COG0635	Heme chaperone HemW
HDIIENPN_01039	CDS	1044	hrcA		COG1420	Heat-inducible transcription repressor HrcA
HDIIENPN_01040	CDS	564	grpE			Protein GrpE
HDIIENPN_01041	CDS	1830	dnaK		COG0443	Chaperone protein DnaK
HDIIENPN_01042	CDS	1167	dnaJ		COG0484	Chaperone protein DnaJ
HDIIENPN_01043	CDS	738	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
HDIIENPN_01044	CDS	1503	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
HDIIENPN_01045	CDS	1995	uvrB		COG0556	UvrABC system protein B
HDIIENPN_01046	CDS	2817	uvrA			UvrABC system protein A
HDIIENPN_01047	CDS	1266		6.3.1.12		D-aspartate ligase
HDIIENPN_01048	CDS	732		5.1.1.13		Aspartate racemase
HDIIENPN_01049	CDS	885	yvcJ		COG1660	Nucleotide-binding protein YvcJ
HDIIENPN_01050	CDS	999			COG0391	Putative gluconeogenesis factor
HDIIENPN_01051	CDS	936	whiA		COG1481	putative cell division protein WhiA
HDIIENPN_01052	CDS	201				hypothetical protein
HDIIENPN_01053	CDS	627				hypothetical protein
HDIIENPN_01054	CDS	582				hypothetical protein
HDIIENPN_01055	CDS	954			COG2826	IS30 family transposase IS1252
HDIIENPN_01056	CDS	252				hypothetical protein
HDIIENPN_01057	CDS	258				hypothetical protein
HDIIENPN_01058	CDS	588				hypothetical protein
HDIIENPN_01059	CDS	558				hypothetical protein
HDIIENPN_01060	CDS	522				hypothetical protein
HDIIENPN_01061	CDS	3693		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
HDIIENPN_01062	CDS	888	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
HDIIENPN_01063	CDS	1170				hypothetical protein
HDIIENPN_01064	CDS	1356	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
HDIIENPN_01065	CDS	1806	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
HDIIENPN_01066	CDS	291				hypothetical protein
HDIIENPN_01067	CDS	1026	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
HDIIENPN_01068	CDS	660				hypothetical protein
HDIIENPN_01069	CDS	933				hypothetical protein
HDIIENPN_01070	CDS	1290	tig	5.2.1.8	COG0544	Trigger factor
HDIIENPN_01071	CDS	1251	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
HDIIENPN_01072	CDS	588	engB		COG0218	putative GTP-binding protein EngB
HDIIENPN_01073	CDS	156				hypothetical protein
HDIIENPN_01074	CDS	1329				hypothetical protein
HDIIENPN_01075	CDS	210				hypothetical protein
HDIIENPN_01076	CDS	753	glcR		COG1349	HTH-type transcriptional repressor GlcR
HDIIENPN_01077	CDS	915	lacC_1	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
HDIIENPN_01078	CDS	1932	fruA_5		COG1299	PTS system fructose-specific EIIABC component
HDIIENPN_01079	CDS	1560	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
HDIIENPN_01080	CDS	2235	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
HDIIENPN_01081	CDS	2037	ligA_1	6.5.1.2	COG0272	DNA ligase
HDIIENPN_01082	CDS	306	gatC_1	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C
HDIIENPN_01083	CDS	1473	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
HDIIENPN_01084	CDS	1431	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
HDIIENPN_01085	CDS	1056	dagK_1	2.7.1.107	COG1597	Diacylglycerol kinase
HDIIENPN_01086	CDS	1374		2.1.1.-	COG2265	putative RNA methyltransferase
HDIIENPN_01087	CDS	129				hypothetical protein
HDIIENPN_01088	CDS	1014	aes_1	3.1.1.-		Acetyl esterase
HDIIENPN_01089	CDS	1035	melR_2		COG1609	HTH-type transcriptional repressor MelR
HDIIENPN_01090	CDS	2226	melA	3.2.1.22	COG3345	Alpha-galactosidase Mel36A
HDIIENPN_01091	CDS	1884	lacL	3.2.1.23	COG3250	Beta-galactosidase large subunit
HDIIENPN_01092	CDS	975	lacM	3.2.1.23	COG3250	Beta-galactosidase small subunit
HDIIENPN_01093	CDS	1023	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
HDIIENPN_01094	CDS	1065	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
HDIIENPN_01095	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
HDIIENPN_01096	CDS	1092				hypothetical protein
HDIIENPN_01097	CDS	1296	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
HDIIENPN_01098	CDS	510	aroK	2.7.1.71	COG0703	Shikimate kinase
HDIIENPN_01099	CDS	837	pheA			Bifunctional chorismate mutase/prephenate dehydratase
HDIIENPN_01100	CDS	1737				hypothetical protein
HDIIENPN_01101	CDS	876	rhaR_2			HTH-type transcriptional activator RhaR
HDIIENPN_01102	CDS	579	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
HDIIENPN_01103	CDS	1287	lacE_1			Lactose-binding protein
HDIIENPN_01104	CDS	870	lacF_3			Lactose transport system permease protein LacF
HDIIENPN_01105	CDS	870	lacG_2			Lactose transport system permease protein LacG
HDIIENPN_01106	CDS	684	umpB_1			Na(+), Li(+), K(+)/H(+) antiporter subunit B
HDIIENPN_01107	CDS	774	umpB_2			Na(+), Li(+), K(+)/H(+) antiporter subunit B
HDIIENPN_01108	CDS	399				hypothetical protein
HDIIENPN_01109	CDS	672				hypothetical protein
HDIIENPN_01110	CDS	441				hypothetical protein
